angDist,angDist,id,RAdeg,DEdeg,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual,objID,RA_ICRS,DE_ICRS,errHalfMaj,errHalfMin,errPosAng,mode,class,clean,e_RA_ICRS,e_DE_ICRS,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,zsp,e_zsp,f_zsp,spCl,subCl,pmRA,pmDE,e_pmRA,e_pmDE,sigRA,sigDE,zph,e_zph,<zph>,Q,SDSS16,Sp-ID,MJD,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,otype,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z
0.014285,0.002615,8.00151E+15,128.1549074,32.21271171,8001,507248,1269,COMP,0.002,C1,0.097,0.009,0,0,1.23766E+18,128.154907,32.212712,0.005,0.005,0,3,3,0,0.005,0.005,18.718,17.144,16.311,15.888,15.531,0.037,0.006,0.004,0.004,0.009,,,,,,,,,,,,,,,3,SDSS J083237.17+321245.7,,52313.1571,2MASX J08323719+3212460,128.1549031,32.21271018,0.002,0.001,90,LIN,4,08 32 37.17674,+32 12 45.7566,C,2020yCat.1350....0G,LINER,Opt|LIN|G|*,24262.932,5.996,0.08449,0.00002,,,,,,,,,32767,0.324207,0.189239,97,,,,14.582,13.868,13.573,18.878,17.158,16.312,15.887,15.544
67.831736,0.002615,8.00151E+15,128.1549074,32.21271171,8001,507248,1269,COMP,0.002,C1,0.097,0.009,0,0,1.23766E+18,128.154907,32.212712,0.005,0.005,0,3,3,0,0.005,0.005,18.718,17.144,16.311,15.888,15.531,0.037,0.006,0.004,0.004,0.009,,,,,,,,,,,,,,,3,SDSS J083237.17+321245.7,,52313.1571,LEDA 1986162,128.1770833,32.21444444,,,172,G,1,    08 32 42.5,     +32 12 52,D,2003A&A...412...45P,Galaxy,G,,,,,,,,,,,,,,0.32,0.19,89,,,,,,,,,,,
91.521829,0.002615,8.00151E+15,128.1549074,32.21271171,8001,507248,1269,COMP,0.002,C1,0.097,0.009,0,0,1.23766E+18,128.154907,32.212712,0.005,0.005,0,3,3,0,0.005,0.005,18.718,17.144,16.311,15.888,15.531,0.037,0.006,0.004,0.004,0.009,,,,,,,,,,,,,,,3,SDSS J083237.17+321245.7,,52313.1571,SDSS J083232.62+321134.8,128.1359037,32.1930206,0.007,0.006,90,G,1,08 32 32.61690,+32 11 34.8742,C,2020yCat.1350....0G,Galaxy,Opt|G|*,65587.69,22.185,0.249035,0.000074,,,,,,,,,,,,,,,,,,,23.782,20.597,19.181,18.659,18.228
63.870051,0.003562,8.00151E+15,129.9782194,33.33772177,8001,512111,2960,REX,0.003,R3,0.211,0.045,1,1,1.23766E+18,129.97822,33.337723,0.025,0.025,0,1,3,1,0.025,0.025,21.814,20.402,19.345,18.902,18.527,0.22,0.031,0.019,0.018,0.041,,,,,,-21.24,2.42,3.75,3.75,224.71,157.4,0.2345,0.0569,0.2408,3,SDSS J083954.77+332015.8,,52313.1625,SDSS J083949.67+332014.8,129.9569857,33.33745259,0.002,0.001,90,G,1,08 39 49.67657,+33 20 14.8293,C,2020yCat.1350....0G,Galaxy,Opt|G|*|MIR,19467.778,2.998,0.06719,0.00001,,,,,,,,,,0.027265,0.027265,0,,,,,,,19.536,17.743,16.946,16.583,16.289
19.245631,0.002978,8.00151E+15,130.5371305,33.22237478,8001,512113,1380,PSF,0.956,P2,1.911,0.902,1,0,1.23766E+18,130.53713,33.222376,0.007,0.007,90,3,6,0,0.007,0.007,20.539,19.418,19.083,18.941,18.982,0.057,0.013,0.012,0.014,0.043,,,,,,,,,,,,,,,3,SDSS J084208.91+331320.5,,52313.1633,SDSS J084207.63+331309.9,130.531793,33.219435,0.037,0.036,90,G,2,  08 42 07.630,  +33 13 09.97,C,2015ApJS..219...12A,Galaxy,Opt|G,30654.415,2.998,0.10806,0.00001,,,,,,,,,,,,,,,,,,,19.26,17.91,17.42,17.151,17.038
19.245631,0.00299,8.00151E+15,130.5371305,33.22237478,8001,512113,1380,PSF,0.956,P2,1.911,0.902,1,0,1.23766E+18,130.53713,33.222376,0.007,0.007,90,4,6,0,0.007,0.007,20.54,19.421,19.087,18.946,18.989,0.057,0.013,0.012,0.014,0.043,,,,,,,,,,,,,,,3,SDSS J084208.91+331320.5,,52313.1633,SDSS J084207.63+331309.9,130.531793,33.219435,0.037,0.036,90,G,2,  08 42 07.630,  +33 13 09.97,C,2015ApJS..219...12A,Galaxy,Opt|G,30654.415,2.998,0.10806,0.00001,,,,,,,,,,,,,,,,,,,19.26,17.91,17.42,17.151,17.038
32.324426,0.002561,8.00151E+15,131.2798728,32.32778838,8001,507258,2477,PSF,1,P2,0.82,1.638,1,0,1.23766E+18,131.279872,32.327788,0.003,0.002,90,4,6,0,0.003,0.002,18.669,17.584,17.264,17.129,17.14,0.017,0.005,0.005,0.006,0.014,,,,,,3.22,-2,2.8,2.8,142.06,146.76,,,,3,SDSS J084507.16+321940.0,,52585.4403,[VV2006] J084509.3+321956,131.2889639,32.33243736,0,0,90,QSO,25,08 45 09.35133,+32 19 56.7745,A,2020yCat.1350....0G,QSO,Opt|*|QSO|Rad,265593.693,,3.066,,,,,,-0.187,-0.098,0.358,0.283,90,,,,19.98,19.66,,,,,21.065,19.467,19.201,19.1,19.157
31.495789,0.003306,8.00151E+15,128.1265158,32.22266674,8001,507248,1430,EXP,0.009,E4,0.087,0.03,1,1,1.23766E+18,128.126517,32.222667,0.016,0.016,0,2,3,0,0.016,0.016,20.705,19.404,18.751,18.324,18.076,0.103,0.014,0.013,0.013,0.034,,,,,,-5.69,-2.32,3.46,3.46,244.47,92.74,,,,3,SDSS J083230.36+321321.6,,52621.398,SDSS J083229.04+321348.3,128.121035,32.230086,,,172,G,1,08 32 29.04840,+32 13 48.3096,C,2015ApJS..219...12A,Galaxy,Opt|G,65292.437,58.16,0.247744,0.000194,,,,,,,,,,,,,,,,,,,24.807,22.141,20.823,20.42,19.917
93.59478,0.003306,8.00151E+15,128.1265158,32.22266674,8001,507248,1430,EXP,0.009,E4,0.087,0.03,1,1,1.23766E+18,128.126517,32.222667,0.016,0.016,0,2,3,0,0.016,0.016,20.705,19.404,18.751,18.324,18.076,0.103,0.014,0.013,0.013,0.034,,,,,,-5.69,-2.32,3.46,3.46,244.47,92.74,,,,3,SDSS J083230.36+321321.6,,52621.398,2MASX J08323719+3212460,128.1549031,32.21271018,0.002,0.001,90,LIN,4,08 32 37.17674,+32 12 45.7566,C,2020yCat.1350....0G,LINER,Opt|LIN|G|*,24262.932,5.996,0.08449,0.00002,,,,,,,,,32767,0.324207,0.189239,97,,,,14.582,13.868,13.573,18.878,17.158,16.312,15.887,15.544
110.490688,0.003306,8.00151E+15,128.1265158,32.22266674,8001,507248,1430,EXP,0.009,E4,0.087,0.03,1,1,1.23766E+18,128.126517,32.222667,0.016,0.016,0,2,3,0,0.016,0.016,20.705,19.404,18.751,18.324,18.076,0.103,0.014,0.013,0.013,0.034,,,,,,-5.69,-2.32,3.46,3.46,244.47,92.74,,,,3,SDSS J083230.36+321321.6,,52621.398,SDSS J083232.62+321134.8,128.1359037,32.1930206,0.007,0.006,90,G,1,08 32 32.61690,+32 11 34.8742,C,2020yCat.1350....0G,Galaxy,Opt|G|*,65587.69,22.185,0.249035,0.000074,,,,,,,,,,,,,,,,,,,23.782,20.597,19.181,18.659,18.228
